prefecture,fiscal_year,variable_name,source_document,source_page,source_table,source_url,publication_date,source_quote_or_summary,source_unit,notes
大分県,2025,average_fund_balance_million_yen,令和7年度 公金管理の実績について,1,2 資金運用／令和7年度実績,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,2026-08-26,137026.053,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金運用収入842.487百万円・利回り0.615%は償還差益17.732百万円を含む。償還差益除きは824.755百万円・0.602%。
大分県,2025,fund_investment_income_million_yen,令和7年度 公金管理の実績について,1,2 資金運用／令和7年度実績,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,2026-08-26,842.487,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金運用収入842.487百万円・利回り0.615%は償還差益17.732百万円を含む。償還差益除きは824.755百万円・0.602%。
大分県,2025,investment_yield_pct,令和7年度 公金管理の実績について,1,2 資金運用／令和7年度実績,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,2026-08-26,0.615,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金運用収入842.487百万円・利回り0.615%は償還差益17.732百万円を含む。償還差益除きは824.755百万円・0.602%。
大分県,2025,maturity_ladder,令和7年度 公金管理の実績について,1,2 資金運用／令和7年度実績,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,2026-08-26,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金運用収入842.487百万円・利回り0.615%は償還差益17.732百万円を含む。償還差益除きは824.755百万円・0.602%。
大分県,2025,risk_policy_public,令和7年度 公金管理の実績について,1,2 資金運用／令和7年度実績,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,2026-08-26,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金運用収入842.487百万円・利回り0.615%は償還差益17.732百万円を含む。償還差益除きは824.755百万円・0.602%。
大分県,2025,R7_policy_change,令和7年度 公金管理の実績について,1,2 資金運用／令和7年度実績,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,2026-08-26,20年のラダー運用を基本とし、高速道路会社債などの購入により運用収入増加を図った。,記述,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金運用収入842.487百万円・利回り0.615%は償還差益17.732百万円を含む。償還差益除きは824.755百万円・0.602%。
大分県,2026,lump_sum_management,大分県 公金管理の実績・公金管理指針 公開ページ,HTML,,https://www.pref.oita.jp/soshiki/11400/koukinkanri.html,2026-08-26,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; R7実績ページから公金管理指針への公式リンクを確認。R8の運用実績数値は未公表。
大分県,2026,risk_policy_public,大分県 公金管理の実績・公金管理指針 公開ページ,HTML,,https://www.pref.oita.jp/soshiki/11400/koukinkanri.html,2026-08-26,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; R7実績ページから公金管理指針への公式リンクを確認。R8の運用実績数値は未公表。
大分県,2026,R8_policy_change,大分県 公金管理の実績・公金管理指針 公開ページ,HTML,,https://www.pref.oita.jp/soshiki/11400/koukinkanri.html,2026-08-26,原則一括運用。預金と債券を活用し、国債・政府保証債・地方債・JFM債・財投機関債・高速道路会社債等を対象、原則満期保有。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; R7実績ページから公金管理指針への公式リンクを確認。R8の運用実績数値は未公表。
宮崎県,2025,average_fund_balance_million_yen,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,182900,百万円,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2025,time_deposit_million_yen,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,130700,百万円,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2025,securities_million_yen,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,52200,百万円,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2025,securities_ratio_pct,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,28.54018589393111,％,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2025,cash_deposit_ratio_pct,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,71.45981410606889,％,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2025,investment_income_million_yen,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,650.0,百万円,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2025,fund_investment_income_million_yen,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,650.0,百万円,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2025,R7_policy_change,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,定期預金に加え、10年以下の国債や安全性の高い公社債で運用。R7運用益は5億円超を見込む。,記述,"period_type=latest_actual; scope=public_money_combined; source_type=official_prefecture_assembly; 基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,2026,risk_policy_public,令和8年度第157回宮崎県の財政（R7下半期財政運営・基金状況を含む）,HTML,,https://www.pref.miyazaki.lg.jp/zaisei/kense/zaise/20260529141701.html,2026-06-23,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
沖縄県,2025,investment_income_million_yen,沖縄県産業振興基金 中期見通し,,,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/010/064/r6.3tyuukimitoosi.pdf,,68.724,百万円,period_type=policy_only; scope=specific_fund; source_type=official_specific_fund_plan; R7運用収入は予算見込。
沖縄県,2025,R7_policy_change,沖縄県産業振興基金 中期見通し,,,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/010/064/r6.3tyuukimitoosi.pdf,,"産業振興基金はR6以降、国債等による債券運用を再開し複数年に分散。R7運用収入見込み68,724千円。",記述,period_type=policy_only; scope=specific_fund; source_type=official_specific_fund_plan; R7運用収入は予算見込。
沖縄県,2026,fund_balance_million_yen,沖縄県産業振興基金／中期見通し,HTML,,https://www.pref.okinawa.jp/shigoto/keizai/1009879/1009880/1010064.html,2026-09-01,11000,百万円,period_type=annual_plan; scope=specific_fund; source_type=official_specific_fund_plan; 「見つからない」を「存在しない」とは扱わない。
沖縄県,2026,investment_income_million_yen,沖縄県産業振興基金／中期見通し,HTML,,https://www.pref.okinawa.jp/shigoto/keizai/1009879/1009880/1010064.html,2026-09-01,78.724,百万円,period_type=annual_plan; scope=specific_fund; source_type=official_specific_fund_plan; 「見つからない」を「存在しない」とは扱わない。
沖縄県,2026,R8_policy_change,沖縄県産業振興基金／中期見通し,HTML,,https://www.pref.okinawa.jp/shigoto/keizai/1009879/1009880/1010064.html,2026-09-01,"産業振興基金で国債等の分散運用を継続。R8運用収入見込み78,724千円。",記述,period_type=annual_plan; scope=specific_fund; source_type=official_specific_fund_plan; 「見つからない」を「存在しない」とは扱わない。
